sample	sequencing_run	end	path
British-Columbia-BC	British-Columbia-BC_S34	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/190905_AHKCJJDMXX/British-Columbia-BC_S34_L002_R2_001.fastq.gz
California-CA	California-CA_S32	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/190905_AHKCJJDMXX/California-CA_S32_L002_R1_001.fastq.gz
California-CA	California-CA_S32	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/190905_AHKCJJDMXX/California-CA_S32_L002_R2_001.fastq.gz
Wisconsin-WI	Wisconsin-WI_S33	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/190905_AHKCJJDMXX/Wisconsin-WI_S33_L002_R1_001.fastq.gz
Wisconsin-WI	Wisconsin-WI_S33	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/190905_AHKCJJDMXX/Wisconsin-WI_S33_L002_R2_001.fastq.gz
British-Columbia-BC	British-Columbia-BC_S64	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/191011_BHLK52DMXX/British-Columbia-BC_S64_L002_R1_001.fastq.gz
British-Columbia-BC	British-Columbia-BC_S64	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/191011_BHLK52DMXX/British-Columbia-BC_S64_L002_R2_001.fastq.gz
California-CA	California-CA_S65	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/191011_BHLK52DMXX/California-CA_S65_L002_R1_001.fastq.gz
California-CA	California-CA_S65	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/191011_BHLK52DMXX/California-CA_S65_L002_R2_001.fastq.gz
Wisconsin-WI	Wisconsin-WI_S66	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/191011_BHLK52DMXX/Wisconsin-WI_S66_L002_R1_001.fastq.gz
Wisconsin-WI	Wisconsin-WI_S66	2	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/191011_BHLK52DMXX/Wisconsin-WI_S66_L002_R2_001.fastq.gz
Hokkaido-HK	Hokkaido-HK_S46	1	/staging/sfeng77/dataset/suzukii_WGS/unpublished/BRC_archive/200124_BHNFGKDMXX/Hokkaido-HK_S46_L002_R1_001.fastq.gz
